# GTOC4 list of asteroids' Keplerian orbital parameters in the J2000 heliocentric ecliptic frame
# Name         Epoch (MJD)    a (AU)                   e                        i (deg)                  LAN (deg)                arg. periap. (deg)       mean anomaly (deg)
'6611'         54800.000000   1.6954860725377201e+00   4.8514256429226377e-01   8.6911052078994420e+00   2.3108555285331011e+02   2.8117489207446062e+02   2.4712309656674913e+02
'7088'         54800.000000   1.9805931580190299e+00   3.9096896491117161e-01   8.3024239159031872e+00   1.0272130921243891e+02   3.5471506477427772e+02   2.1339575761717231e+01
'7236'         54800.000000   2.7266759936944198e+00   5.5893889794995133e-01   1.6323933790933552e+01   3.0856864774917483e+02   3.3796781100541460e+02   2.7554542425142222e+02
'7335'         54800.000000   1.7706821232510901e+00   4.8433541494016719e-01   1.5212843993247969e+01   6.1457317328808230e+01   2.3206355643004360e+02   8.3483100796864406e+01
'7822'         54800.000000   1.1227132691750501e+00   1.6460429510323793e-01   3.7122245816643463e+01   1.5688693261898490e+02   2.4944912722028596e+02   5.7439005876867796e+01
'7888'         54800.000000   2.4345339271931499e+00   6.6425421140922014e-01   2.6076792605171942e+01   1.6596322782698769e+02   3.2305141212933455e+02   3.1977748040623760e+02
'7889'         54800.000000   1.2616071178088599e+00   3.4637383178087566e-01   3.6907869651788580e+01   1.1130766537792449e+02   3.4912511132985662e+02   2.6254994006339842e+02
'7977'         54800.000000   2.2264273477553100e+00   4.6531855857614457e-01   2.5175834329807000e+01   1.3427201213274466e+02   2.4802458047250329e+02   1.3221038658544776e+02
'8037'         54800.000000   1.9861731281184500e+00   4.1799671378754311e-01   5.9090833260586972e+00   2.2506067562955305e+01   1.0569171006538829e+02   2.4929857185833779e+02
'8566'         54800.000000   1.5066106162989099e+00   4.3072244455470582e-01   3.7964438233334135e+01   1.6418478203028462e+02   1.2511504883562378e+02   2.3816821752374398e+02
'10165'        54800.000000   1.2346146107912299e+00   5.0383663527144673e-01   2.3896329545285070e+01   3.1248108332201429e+02   3.4838982095832807e+02   2.4489151505950110e+02
'11284'        54800.000000   1.7401838649575900e+00   3.3788005274172905e-01   1.9948163370048611e+00   3.1185333232210951e+02   1.7081875287324053e+02   7.4511353625165356e+01
'15745'        54800.000000   1.7196080356016801e+00   2.5502072821330823e-01   1.4423642827269777e+01   1.3269245754036362e+02   1.4047252977978485e+02   2.6949944759956173e+02
'15817'        54800.000000   1.3247008797421700e+00   1.1816344708815210e-01   1.3871746612156670e+01   1.6254365915527046e+02   9.4276730535119455e+01   1.9043743895766639e+02
'18736'        54800.000000   2.3551532054281101e+00   4.8738126465148546e-01   2.8579044445971675e+00   2.9875422303612453e+02   2.2089428340681746e+02   5.7541433212100607e+01
'20425'        54800.000000   1.5647470047765599e+00   4.7641078794657393e-01   6.9773000363877218e+00   2.2752098493786232e+02   2.9593913022402785e+02   3.5212847952039340e+02
'20429'        54800.000000   1.5559714370588800e+00   4.6407416609481150e-01   6.2972519781141925e+00   6.1826266836780455e+01   1.4749522817261851e+02   3.3756488469053232e+02
'22753'        54800.000000   1.2187068285263101e+00   5.6986183118697942e-01   3.2052361035912385e+00   3.0759376478435445e+02   3.2457066447074732e+02   2.3739543332688879e+02
'24443'        54800.000000   2.3103345971046201e+00   8.2183806096919498e-01   2.5814274342538940e+01   1.7830587619500517e+02   2.3101715596404134e+02   1.1950560662468170e+02
'25330'        54800.000000   1.5403864805801100e+00   3.7097753355274260e-01   1.4328762011876794e+01   5.0689096404916498e+01   8.5851953839757485e+01   1.9447662894457828e+01
'26166'        54800.000000   3.3001863315328799e+00   6.4468818563867425e-01   1.4792816315129611e+01   1.8577272273919010e+02   6.2877494579202910e+01   9.7963602108161965e+01
'26817'        54800.000000   2.8098440160564300e+00   5.9201688253519158e-01   3.4865120366821336e+00   1.5328295602236014e+02   1.5652108698196287e+02   1.9927250313622420e+02
'29075'        54800.000000   1.6987496381577201e+00   5.0753145172103842e-01   1.2181973217536679e+01   3.5678258525296866e+02   2.2453355670833503e+02   1.6105942902539169e+02
'31346'        54800.000000   2.0293366335150500e+00   4.3060690464495965e-01   5.9663924289845047e+00   2.9982016087351087e+02   3.5025539866992585e+02   2.1147064060268221e+02
'40263'        54800.000000   1.4948764935881700e+00   1.6111587241859932e-01   2.5843568883313026e+01   1.7286637641248171e+02   1.9860143346088944e+02   2.6414621803257307e+02
'52340'        54800.000000   2.2098480823519502e+00   5.4992988860183323e-01   8.0458304578099984e+00   5.8675020945240313e+00   1.1547030292919530e+02   2.8013274462558496e+02
'52387'        54800.000000   1.2821428470504601e+00   1.8970514346854925e-01   2.4155523343644827e+01   2.9763284225463434e+02   1.9543943564449432e+02   6.8957239573183209e+00
'52750'        54800.000000   1.4271275259216900e+00   5.2521920710277104e-01   1.1161501983261676e+01   1.4140957563436064e+02   3.3400953063529596e+02   1.1384094310217296e+02
'53409'        54800.000000   2.1009835155689101e+00   6.2860865028690083e-01   1.0805021825759665e+01   2.0701952743182372e+02   1.4722002279807387e+02   8.4344731669279103e+00
'54660'        54800.000000   1.4766647026966400e+00   2.8092497611134937e-01   4.6684597281997803e+01   2.2374854733842332e+02   1.5792719448744390e+02   1.8220562582240322e+02
'54686'        54800.000000   1.7764913778102900e+00   3.4190919424096866e-01   3.3205602091036532e+01   1.6179162814595352e+02   2.6586879233828773e+02   1.5356150669617327e+02
'55532'        54800.000000   1.7947620805734601e+00   6.9596105409654796e-01   3.8473143108979087e+01   8.1583693325113330e+01   1.3228832507891315e+02   2.7619545170475061e+02
'65733'        54800.000000   1.1541666379392299e+00   4.7451089524424478e-01   4.1561522803375199e+00   3.3750496558126366e+02   1.6817129126970482e+02   3.0317842200089723e+02
'67399'        54800.000000   1.3011901053713000e+00   3.4602897262980092e-01   1.4698380534019535e+01   3.3294592359910263e+02   2.2517012405470786e+02   3.1471597209096115e+02
'68267'        54800.000000   1.5094248701647699e+00   4.2770736012867699e-01   3.8818694724014271e+01   8.0652752789053768e+00   3.1735101952674245e+02   3.2128614878901749e+02
'68346'        54800.000000   1.5073673626449500e+00   4.1667620845800341e-01   1.6687303488946693e+01   2.1946761195835268e+02   1.4014253301037311e+02   2.8525119373769581e+02
'68348'        54800.000000   2.1522929398637500e+00   8.4216368388288965e-01   2.5444369032780820e+01   2.3628143518799527e+02   1.8154226244157894e+02   4.3613745690869628e+01
'68372'        54800.000000   1.6182241272673801e+00   4.1565785647002362e-01   8.0948177197201314e+00   2.5313040417989873e+02   3.2208083760565120e+02   2.6097457497289736e+02
'85770'        54800.000000   9.9858766359655704e-01   3.4493100504682789e-01   3.3178922044919595e+01   1.8390941082003387e+01   2.3434884716150762e+02   1.4486794176669045e+02
'85774'        54800.000000   1.4041026348166601e+00   3.2954929577335523e-01   1.3591191252293189e+01   6.4725827172220875e+01   4.9997862020801286e+01   3.3986091084203423e+02
'85804'        54800.000000   1.7212494905278000e+00   3.5422641947975941e-01   2.7662444790222082e+01   2.8584259371054407e+02   2.6972620606962857e+02   5.9629856036632503e+01
'85818'        54800.000000   1.6566595729000999e+00   4.1694318448211620e-01   6.2701778291959272e+01   2.3568415047493744e+02   3.0130335282589868e+02   1.4541526863568200e+02
'85867'        54800.000000   1.8304436603116401e+00   3.0197523870574866e-01   9.4273774363269158e-01   2.5473826094531478e+02   2.8692894040128323e+02   3.1548892813400693e+02
'85938'        54800.000000   1.8525257714859300e+00   4.8307659149791909e-01   9.1497539011548650e+00   2.0003234136832091e+01   1.9755123507209680e+02   2.9594031893592154e+02
'86666'        54800.000000   1.4629387033065400e+00   4.2685176506797323e-01   2.9014626179828909e+01   1.8700549186721486e+02   2.5882740988112522e+02   1.0713552775667742e+01
'86667'        54800.000000   8.5929075077610095e-01   5.9466828021762930e-01   1.4283676941116495e+01   2.0839411401514332e+02   1.7240100331822961e+02   1.1827798067023106e+02
'86878'        54800.000000   1.3416640309709100e+00   6.1851898265940020e-01   9.4742054341498729e+00   2.3111731237498813e+02   2.1476377773944768e+02   2.3575864077997073e+02
'87025'        54800.000000   1.2267522935871000e+00   4.8369448955432365e-01   2.5321516240857022e+01   1.2054743334640918e+02   3.5953901915588710e+02   1.5851931101388101e+02
'88188'        54800.000000   2.0066212845724198e+00   3.9297332810274554e-01   1.1391655859653710e+01   3.4033150405604363e+02   1.9480707106511403e+02   2.3423020957763029e+02
'88213'        54800.000000   9.5395592685418196e-01   5.9531979716067884e-01   1.7815137737225879e+01   1.1431121776064799e+02   1.9494945569006819e+02   2.9903353634772918e+02
'88254'        54800.000000   1.1818850405522501e+00   6.2943495770486324e-01   1.5240486337894319e+00   2.7258917988908263e+02   1.3971343378420119e+02   3.9256722623684894e+01
'88263'        54800.000000   2.0968512722719699e+00   4.3146650250533897e-01   3.8817462368102213e+01   2.3295768419942695e+02   2.4148177388734175e+02   2.3665361922985500e+02
'89355'        54800.000000   1.7869839796856299e+00   3.0797926238258533e-01   2.2671168139209136e+01   1.0320345475304792e+02   8.4770860514925701e+01   2.9176325554682717e+02
'89958'        54800.000000   1.6420256736516901e+00   8.8616959037537746e-01   9.9636319009913770e+00   1.8853716933673203e+02   2.2252751779521407e+02   3.4862877439483628e+02
'90147'        54800.000000   1.4741324327901599e+00   3.3154861644678169e-01   2.7991818960031956e+01   2.8277520478657453e+02   1.0499115970739140e+02   1.2712752525069658e+02
'90373'        54800.000000   1.6267193952491099e+00   2.0462608273448030e-01   9.8715237251895847e+00   1.8948324698190962e+02   2.1860536095229958e+02   1.6187099301616229e+02
'96744'        54800.000000   2.0886949727703001e+00   7.8013077747584059e-01   3.5230041055976677e+01   1.9649562614316127e+02   3.5327568804071852e+01   9.7108592778275053e+01
'99907'        54800.000000   7.2852390673636402e-01   5.9466255639519905e-01   2.8794847755379653e+01   2.2562044984955935e+02   2.8181898511841070e+00   4.6509838805501658e+01
'101869'       54800.000000   1.6237709412812900e+00   6.1070759896396920e-01   4.7647514926327412e+00   1.1112417344141447e+02   2.6855828252184756e+02   1.7105347023123034e+02
'108519'       54800.000000   1.6033433203726399e+00   2.7075877255901482e-01   1.6392417978315017e+01   2.6734953404393303e+02   3.4371489116503216e+02   2.6021281299649002e+02
'115052'       54800.000000   1.6687717481085300e+00   3.1815321860028106e-01   3.1319818163069840e+01   1.9059836761043385e+02   8.8162749081718886e+01   2.0661998227843458e+02
'136617'       54800.000000   1.6370159619523801e+00   4.1697371144525425e-01   4.6340719746556642e+00   2.6878396764231763e+02   2.4743077237029123e+01   2.5620130240155345e+02
'136745'       54800.000000   2.3651794127758601e+00   4.8363768862065498e-01   1.7773800992830587e+01   2.4809113413846481e+02   1.3151661541904099e+02   2.2170520742167429e+02
'136793'       54800.000000   1.1469979308120200e+00   4.6532234972150993e-01   1.7380351688190874e+01   2.9632208231833198e+02   3.6950206659454643e+01   3.3904972467335546e+02
'136795'       54800.000000   1.7455781483435699e+00   4.7846632468296374e-01   1.1002309247499422e+01   5.0280772127698548e+01   1.4733573095432061e+02   2.3030130410150690e+01
'136818'       54800.000000   9.3751609313793205e-01   3.4647675729903088e-01   1.2772370904751664e+01   2.6003939532165060e+02   2.0373238206629711e+02   1.8364751962390603e+01
'136849'       54800.000000   1.4927081009913801e+00   5.7835311049224891e-01   7.7982306693951076e+00   1.1095395710108451e+02   9.7400558750712548e+01   3.0636853446936607e+02
'136923'       54800.000000   2.1341512683008901e+00   4.4226087909097833e-01   6.6190052801228747e+00   5.1327130146991273e+01   2.8690370931365965e+02   5.0995425331738581e+01
'137064'       54800.000000   1.3741714980713899e+00   1.9529683008607671e-01   1.9501699771767726e+01   3.6183988417389550e+01   9.7498790275099495e+01   3.0058355163999650e+01
'137078'       54800.000000   1.9390065510219301e+00   6.3919022416448779e-01   2.3207684421562121e+01   3.2453987693578739e+02   9.4614150348499866e+00   2.8489448922733493e+02
'137126'       54800.000000   1.7725825687095200e+00   5.9948782359221853e-01   5.5457967763616516e+00   1.5735549509831503e+02   8.9893929865133927e+01   1.9448230822554173e+01
'137170'       54800.000000   8.1900080450682600e-01   4.6240851184849296e-01   2.5662625229793960e+01   1.5591715984416808e+02   2.5335693924002877e+02   9.8031283541010836e+01
'137199'       54800.000000   1.4573044412758100e+00   2.9272176010880424e-01   1.6572470868463448e+01   1.0500906002910855e+02   7.6284700072713832e+01   2.0234822937694329e+02
'137802'       54800.000000   1.7766143798027600e+00   3.5183577956944689e-01   3.1584272997438216e+01   1.1650866176283645e+02   2.7255297363537187e+02   3.1965608791809319e+02
'137805'       54800.000000   8.2941713051342403e-01   5.5835164206391452e-01   1.6742066448237761e+01   3.4964694359357208e+02   2.9275936438993421e+02   8.1761345052232883e+01
'138175'       54800.000000   1.0047449862316200e+00   2.9343421704955286e-01   5.2415677063498780e+00   2.5948442789560080e+01   2.8091259530822799e+02   1.3378127639859414e+02
'138205'       54800.000000   2.5721192853134101e+00   6.1901883922742529e-01   1.1048628021255126e+01   5.2171520945688785e+00   3.0404309210093112e+02   3.5520859586015609e+02
'138325'       54800.000000   2.1645103925412599e+00   8.0402678050038479e-01   2.5586392497550825e+01   1.7345969619162250e+02   1.6426967474693086e+02   2.2537743744433152e+02
'138359'       54800.000000   1.1412773702380801e+00   3.6130481835200001e-01   2.0240142911514276e+01   4.4040011457444926e+01   4.6768076391742461e+00   1.7768109388463833e+02
'138524'       54800.000000   2.3620457656672600e+00   5.6532617829403131e-01   6.2134287354893960e+00   2.2671291436366721e+02   1.8109048288018931e+02   7.0272357654855185e+01
'138847'       54800.000000   1.6187891124636700e+00   2.8752637366353750e-01   2.2178961056591984e+01   2.0717085848233077e+02   1.6155096185783002e+01   1.5037174485832622e+02
'138859'       54800.000000   1.5734614252087200e+00   5.3164152254408459e-01   1.3142733801565766e+01   5.6028357015338507e+01   1.4424346051607492e+02   2.8908248431528727e+02
'138893'       54800.000000   1.1729129053848100e+00   7.4362246908694640e-01   1.8331462086565601e+01   2.6532729998045482e+02   3.4128490351910960e+02   6.7464257511650070e+00
'138911'       54800.000000   1.3496905455374300e+00   8.1610559363654009e-02   1.6606764148967075e+00   1.7151156099021208e+02   4.2926853504001613e+01   2.7375410406327552e+02
'138971'       54800.000000   1.0347814460948099e+00   3.3364102054851796e-01   7.9033562261089898e+00   3.5385337757087279e+02   2.7168446215543162e+02   8.2282470788726073e+01
'139289'       54800.000000   1.2595377002552199e+00   8.4121466414732005e-01   2.3218358729855140e+01   1.0299483920968157e+02   2.9121810769928715e+02   6.4292015429098583e+01
'140158'       54800.000000   1.3470824586287000e+00   4.6082321174784202e-01   2.5130121388367352e+00   1.2693776689861055e+02   4.2554505991797406e+01   3.8695573525236533e+01
'140928'       54800.000000   1.5187284925749900e+00   2.9690982944905575e-01   2.0662541581624023e+01   2.4554774296494199e+02   2.5721889598885514e+02   1.9460910573268680e+02
'141018'       54800.000000   1.3985281206942199e+00   2.4104933007254128e-01   2.8669219527837471e+00   9.1851862361613840e+01   1.0096832621826761e+02   3.5106466632576559e+02
'141078'       54800.000000   1.8629357825023600e+00   4.5097328841394857e-01   1.1467843768799556e+01   2.3488856587073769e+02   2.7050640890800372e+02   2.2520379885152801e+02
'141424'       54800.000000   9.7970809478744703e-01   1.7670730281011948e-01   6.8789811132665850e+00   8.7376779731327741e+00   3.3159355717906209e+02   1.4421089453856621e+02
'141484'       54800.000000   8.5759735148633198e-01   3.6943306247256169e-01   1.6602851915048404e+01   2.3432662087723887e+02   9.4073381587691841e+01   2.8483638571891487e+02
'141527'       54800.000000   1.5140188068732601e+00   6.2675977403879957e-01   9.1958538418088978e+00   1.8771391531790894e+02   2.4742758200190059e+02   2.5320301828963017e+02
'141593'       54800.000000   2.0015318760775700e+00   5.3012051261615989e-01   2.3603405629410714e+00   3.0717808050309748e+02   2.0294270801190182e+00   8.2918856601294735e+01
'141851'       54800.000000   1.1979967877290201e+00   8.5001782922242208e-01   1.9220989668006759e+01   3.0429334420214997e+02   2.2423769017936593e+02   3.3146905255409376e+02
'142348'       54800.000000   2.0658649689603501e+00   4.5810700659250386e-01   6.0620391796821460e+00   9.6752317629594117e+01   3.2410283529275017e+02   4.1298077758446725e+00
'142464'       54800.000000   1.2333650664048501e+00   1.5434890738127804e-01   1.6277896646541958e+01   1.9189263088173976e+02   2.9210854132702316e+01   3.3219865275487757e+02
'143409'       54800.000000   1.9493861220886199e+00   3.5103792401592959e-01   8.1651533172442505e+00   1.6391156610321588e+02   4.4116435697235474e+01   9.4541399229409677e+00
'143527'       54800.000000   1.6614844374066999e+00   3.5192535844352441e-01   1.7310694504472707e+01   1.8180247647445873e+02   2.4208223661539517e+02   3.1982446012872902e+02
'143947'       54800.000000   2.1805571647225399e+00   6.5515889789835535e-01   2.1004306730139717e+01   2.1764463553779160e+02   1.3559211144706106e+02   2.5110267935339971e+02
'144861'       54800.000000   2.5116051343797401e+00   7.4785497760815289e-01   3.9402867208288484e+01   1.5925188097385814e+02   1.9940364556895318e+02   3.4947371406077576e+02
'145656'       54800.000000   2.6293902597270402e+00   5.6117335214400133e-01   1.1029003441330373e+01   1.7681443605418778e+02   9.7953847242418249e+01   1.1807203359693277e+02
'152561'       54800.000000   1.4546120411342500e+00   4.8551540067948457e-01   1.9584821214767960e+01   3.5941997562668234e+02   6.8835369102431684e+01   2.6095743891733520e+02
'152563'       54800.000000   9.0803866061459704e-01   2.7182349774632347e-01   7.2541130174585602e+00   3.1546811812189577e+02   3.3643026568984112e+02   1.7565648795927721e+01
'152575'       54800.000000   2.6851295519416700e+00   5.2439654092689814e-01   1.2331088034385319e+01   3.3803876347022204e+01   1.9056154332493537e+02   1.1436514807220145e+02
'152742'       54800.000000   8.7826676165187401e-01   7.3912643110882981e-01   1.3436035977090588e+01   2.8009586371215289e+02   3.5307256126309545e+02   1.5156254782637242e+02
'152895'       54800.000000   2.2883619467100100e+00   4.9423241168317794e-01   2.9832546677477674e+00   2.9915089059395680e+01   1.7386934489477821e+02   1.6780696012530092e+02
'153002'       54800.000000   1.3406114864299501e+00   7.9564517693593628e-01   3.1476150814283219e+01   2.1321942261097792e+02   2.3330504609194051e+02   2.2469512640296350e+02
'153195'       54800.000000   1.3012977945510400e+00   6.1904541237269328e-01   4.1113642315169834e+01   2.1482475344155805e+01   2.6287418865692911e+02   2.0834884018309137e+02
'153249'       54800.000000   2.1178799745332699e+00   5.9089457179089411e-01   4.1213923320718884e+01   3.2902107527297693e+02   2.9792374213284029e+02   1.1993030651185965e+02
'153267'       54800.000000   1.7815855791443700e+00   6.1416260449518956e-01   9.6598209875590655e+00   7.5676335884824312e+01   3.3033464603210621e+02   1.2414366470488868e+02
'153306'       54800.000000   2.5520693576056801e+00   5.2354032963035202e-01   2.6983496417259659e+01   2.2673113281436906e+02   2.7253375891971655e+02   3.3545747977746856e+02
'153315'       54800.000000   1.2374884719264800e+00   4.4970610033912450e-01   3.4695901203026253e+01   1.1260675914002641e+02   2.8835512733757389e+02   5.5556476253865924e+01
'153460'       54800.000000   1.4138221963254001e+00   5.8102813668574660e-01   1.0093212647147109e+01   2.1157813712079053e+02   3.0250529663582387e+01   1.4671395433103669e+02
'153792'       54800.000000   2.1049253335238700e+00   7.3911279749721648e-01   1.0691198040399581e+01   2.7737348618522861e+02   2.4302796522402500e+02   7.7001953251406675e+01
'154144'       54800.000000   1.8340332962018000e+00   2.9625743763977030e-01   2.3610833917057118e+01   1.7266625055457826e+02   1.2624402936782964e+02   1.7267562616784880e+02
'154244'       54800.000000   2.3082476559721701e+00   5.4888613141170284e-01   3.2368985874275453e+00   2.1490450381423548e+02   9.5980283435359212e+01   2.9394123371174135e+02
'154276'       54800.000000   1.7057098943121201e+00   6.8990451045844059e-01   8.7448312990294355e+00   3.4400999084687911e+01   9.9314851116390145e+01   2.4006977412918533e+02
'154347'       54800.000000   1.8499173842489400e+00   6.9191388338657833e-01   1.7814328960698987e+01   3.3181055135842234e+02   2.4715065229100656e+01   1.6278464728175871e+02
'154991'       54800.000000   1.7049542435290801e+00   3.2295284086435050e-01   5.6376236812341256e+00   2.4570068699469715e+02   2.6921534747236137e+02   2.8936505952103585e+02
'155110'       54800.000000   1.2613931474867199e+00   3.4831693897394994e-01   3.0386831480890802e+01   2.2623336388174727e+02   4.4719941778281530e+01   1.2535621082326189e+02
'159368'       54800.000000   2.3312313241868101e+00   4.4258399827692341e-01   3.3546715555414135e+00   3.4241248700610447e+02   1.2162239187884657e+01   6.9662715630504380e+01
'159399'       54800.000000   1.5269665706206299e+00   2.1407672953513252e-01   4.1964308463079213e+01   2.1490006415793059e+02   3.5310363030138461e+02   2.9949649883019413e+02
'159459'       54800.000000   2.3405919663000199e+00   7.9650335021279872e-01   5.6024433172269305e+01   1.8545237278941099e+02   1.8505529430137949e+02   1.1990976004126982e+02
'159504'       54800.000000   2.4329580007739100e+00   6.1828776138551667e-01   9.7028399497639928e+00   1.0780700333960519e+02   2.3761869992347334e+02   7.2499077294414249e+01
'159533'       54800.000000   1.6546676077504201e+00   2.8892874938683488e-01   1.2851269923424066e+01   7.1716918277842382e+01   2.7579798106210228e+02   1.0933816465514546e+02
'159555'       54800.000000   1.6303875521121101e+00   2.3009158511686745e-01   2.9433766457373412e+01   2.1500799114221869e+02   1.2341778404814347e+02   1.7910827601792252e+02
'161995'       54800.000000   2.2879051385120599e+00   4.7818729003731841e-01   2.5266963162245133e+01   8.1277756809519957e+01   2.2070541987864058e+02   1.1592342200575735e+02
'162039'       54800.000000   1.8021882780560301e+00   6.6036915652094408e-01   5.2801272020287779e+00   5.3097862444018013e+01   2.7994513295732310e+02   4.2983382181763680e+01
'162080'       54800.000000   8.9668558747891103e-01   3.5821799604477333e-01   1.6208572280745976e+01   3.4441249726388395e+02   3.5680791017081918e+02   7.1325351531097482e+01
'162082'       54800.000000   1.2461439885555301e+00   1.8706423460086277e-01   2.0045282941858371e+01   2.1360654872365242e+02   1.4845237567789891e+02   7.9416946006823281e+01
'162157'       54800.000000   1.2971501447077500e+00   3.5156070767376940e-01   1.5263855931811408e+01   1.3205052097717618e+02   2.7922908261434713e+02   2.8300366935229374e+02
